+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                    ;
+--------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
+--------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; eth0|udp_payload_fifo                                                                                                    ; 31    ; 19             ; 0            ; 19             ; 12     ; 19              ; 19            ; 19              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|udp_inst|udp_ip_tx_inst                                                                           ; 336   ; 8              ; 0            ; 8              ; 288    ; 8               ; 8             ; 8               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|udp_inst|udp_checksum_gen_inst|payload_fifo                                                       ; 31    ; 17             ; 0            ; 17             ; 12     ; 17              ; 17            ; 17              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|udp_inst|udp_checksum_gen_inst                                                                    ; 296   ; 0              ; 0            ; 0              ; 326    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|udp_inst|udp_ip_rx_inst                                                                           ; 288   ; 0              ; 0            ; 0              ; 353    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|udp_inst                                                                                          ; 614   ; 176            ; 32           ; 176            ; 473    ; 176             ; 176           ; 176             ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|arp_inst|arp_cache_inst|wr_hash                                                  ; 64    ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|arp_inst|arp_cache_inst|rd_hash                                                  ; 64    ; 32             ; 0            ; 32             ; 32     ; 32              ; 32            ; 32              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|arp_inst|arp_cache_inst                                                          ; 118   ; 1              ; 0            ; 1              ; 50     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; eth0|udp_complete_inst|ip_complete_inst|arp_inst|arp_eth_tx_inst                                                         ; 325   ; 49             ; 0            ; 49             ; 126    ; 49              ; 49            ; 49              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
